row,cluster
TP53INP1,cluster2
RALGAPA2,cluster2
FLVCR1,cluster2
CHSY1,cluster2
MGAM,cluster2
ANKRD44,cluster2
MXD1,cluster2
PDK1,cluster2
TRIB1,cluster2
ITGA6,cluster2
EIF4E3,cluster2
BCL7A,cluster2
LMNB1,cluster2
DIP2A,cluster2
INPP1,cluster2
CYB5R4,cluster2
STRBP,cluster2
NEB,cluster2
TADA2B,cluster2
LIG3,cluster2
ZNRF3,cluster2
ATP11B,cluster2
ANKRD13A,cluster2
CACNB2,cluster2
FNBP1L,cluster2
ENO2,cluster2
ANKH,cluster2
ADHFE1,cluster2
SORD,cluster2
GSE1,cluster2
SLC5A9,cluster2
SOCS2,cluster2
HMGB2,cluster2
FLNB,cluster2
SAPCD2,cluster2
BOD1L1,cluster2
PIGC,cluster2
METTL25,cluster2
TOPBP1,cluster2
JADE1,cluster2
PDZD8,cluster2
N4BP2,cluster2
LCOR,cluster2
CD164L2,cluster2
COLGALT2,cluster2
CERKL,cluster2
LMO7,cluster2
ARMT1,cluster2
ATL2,cluster2
SNRK,cluster2
GALNT18,cluster2
SLC13A3,cluster2
HMGN1,cluster2
INPP4B,cluster2
DRC7,cluster2
EMP1,cluster2
AP1S2,cluster2
SLC38A6,cluster2
JAZF1,cluster2
STAG3L5P-PVRIG2P-PILRB,cluster2
TPM3,cluster2
PHF20L1,cluster2
WIPF1,cluster2
SUB1,cluster2
KMT2E,cluster2
FAM49B,cluster2
TNFAIP8,cluster2
ELOVL5,cluster2
GPR171,cluster2
ZNF395,cluster2
BANK1,cluster2
MYL9,cluster2
C16orf54,cluster2
RNF145,cluster2
CDC14A,cluster2
SLC38A1,cluster2
RASGRP1,cluster2
SLC20A1,cluster2
FLT1,cluster2
ERP27,cluster2
CD93,cluster2
VDR,cluster2
C1orf106,cluster2
HID1,cluster2
JAK1,cluster2
WAC,cluster2
PHEX,cluster2
SNAP23,cluster2
PLCG2,cluster2
PRPF38A,cluster2
TXK,cluster2
TNFRSF10C,cluster2
IFNAR2,cluster2
SLC7A11,cluster2
KDM7A,cluster2
LEF1,cluster2
TM4SF1,cluster2
HIST2H2BE,cluster2
BTBD18,cluster2
FLT3,cluster2
ENHO,cluster2
SHC4,cluster2
ZNF300,cluster2
TMCC3,cluster2
RFX3,cluster2
CCNL2,cluster2
ZNF296,cluster2
ITGB7,cluster2
TUBA4A,cluster2
GALM,cluster2
LY9,cluster2
HIP1R,cluster2
HYAL3,cluster2
HIST1H2AC,cluster2
CDC123,cluster2
AP4S1,cluster2
ARNTL,cluster2
SCLT1,cluster2
SMC3,cluster2
SECISBP2,cluster2
LPIN1,cluster2
PXK,cluster2
MXI1,cluster2
ABTB2,cluster2
SLC26A11,cluster2
USP20,cluster2
RPS6KA2,cluster2
TMEM38A,cluster2
NIPSNAP3B,cluster2
SYCP2,cluster2
PRCP,cluster2
NLRP12,cluster2
ANXA2R,cluster2
KIAA0040,cluster2
LRP8,cluster2
ZNF830,cluster2
TM6SF1,cluster2
GMEB1,cluster2
NDE1,cluster2
F2RL1,cluster2
TKTL1,cluster2
USP7,cluster2
ST6GALNAC3,cluster2
ARHGAP4,cluster2
MYO1F,cluster2
TTYH3,cluster2
PPM1F,cluster2
HIST1H2BJ,cluster2
CTSE,cluster2
AEBP1,cluster2
CHKA,cluster2
HAMP,cluster2
RNF19B,cluster2
PLA2G7,cluster2
SIPA1,cluster2
SPON1,cluster2
FZD2,cluster2
UCHL1,cluster2
ICAM5,cluster2
FBRSL1,cluster2
FES,cluster2
SEMA4C,cluster2
ZNF101,cluster2
NLRC3,cluster2
IL18RAP,cluster2
TMEM120A,cluster2
SLA2,cluster2
TBCC,cluster2
C1orf228,cluster2
CD300A,cluster2
NKD1,cluster2
NPDC1,cluster2
GIMAP7,cluster2
TNFSF8,cluster2
ANXA6,cluster2
XXYLT1,cluster2
AK4,cluster2
GIMAP5,cluster2
GRASP,cluster2
SLC7A6,cluster2
FPR3,cluster2
IDO1,cluster2
MERTK,cluster2
EPHB3,cluster2
TMEM37,cluster2
TDRD6,cluster2
C22orf29,cluster2
MAPK13,cluster2
PRR7,cluster2
GNG7,cluster2
SSBP3,cluster2
CEP85L,cluster2
VBP1,cluster2
NBPF14,cluster2
DERL3,cluster2
C9orf89,cluster2
METRNL,cluster2
C15orf39,cluster2
SAP30BP,cluster2
SSBP2,cluster2
KIAA0430,cluster2
ADAM22,cluster2
NCF4,cluster2
LST1,cluster2
MSRB1,cluster2
PTGER2,cluster2
CCR2,cluster2
CYP1B1,cluster2
FCGR2B,cluster2
PTP4A3,cluster2
GYS1,cluster2
MAP3K14,cluster2
MYC,cluster2
SLC36A1,cluster2
GAL3ST4,cluster2
OAF,cluster2
NRIP3,cluster2
LYSMD1,cluster2
IRF4,cluster2
SERPINB9,cluster2
CCL7,cluster2
CSGALNACT1,cluster2
MARCKS,cluster2
FAM198B,cluster2
STAB1,cluster2
KCTD15,cluster2
PACSIN1,cluster2
CMKLR1,cluster2
TMEM176B,cluster2
TIGIT,cluster2
LILRA1,cluster2
FUBP1,cluster2
EPHB1,cluster2
TNFRSF25,cluster2
IL21R,cluster2
CLIC3,cluster2
TCL1A,cluster2
LRRC26,cluster2
LGALS2,cluster2
MMP9,cluster2
FYB,cluster2
CCR5,cluster2
FAM20A,cluster2
IER3,cluster2
P2RY6,cluster2
ELK3,cluster2
ABLIM1,cluster2
LSR,cluster2
JAK3,cluster2
CD28,cluster2
OXCT1,cluster2
PAPSS2,cluster2
FCRLB,cluster2
HSD11B1,cluster2
PPCDC,cluster2
PTAFR,cluster2
TRIM47,cluster2
TIGD3,cluster2
SLCO4A1,cluster2
MAFB,cluster2
MEOX1,cluster2
FBXL22,cluster2
MEGF6,cluster2
DAGLB,cluster2
AFF3,cluster2
PLCXD2,cluster2
SCN9A,cluster2
EIF4G3,cluster2
FMN1,cluster2
BIN2,cluster2
ZC3H12C,cluster2
SNX22,cluster2
CA8,cluster2
ABCC1,cluster2
CDR2,cluster2
MED22,cluster2
TNFRSF11A,cluster2
TLR6,cluster2
CLEC4C,cluster2
MYCL,cluster2
NUAK2,cluster2
SMIM3,cluster2
TMEM2,cluster2
SRGAP3,cluster2
NGFR,cluster2
MTUS2,cluster2
SLC2A13,cluster2
WDR82,cluster2
PFKFB4,cluster2
EGLN3,cluster2
DGCR2,cluster2
SMAD3,cluster2
PATZ1,cluster2
TTC39A,cluster2
TIGD1,cluster2
MAML1,cluster2
RTKN2,cluster2
TSSK4,cluster2
PALLD,cluster2
HLA-DOB,cluster2
CPNE5,cluster2
FADS2,cluster2
FUT7,cluster2
CD79A,cluster2
PI16,cluster2
KCNK5,cluster2
KIT,cluster2
CMTM1,cluster2
PHKG2,cluster2
ASB8,cluster2
RNASE3,cluster2
LAMP5,cluster2
SFTPA2,cluster2
MS4A6E,cluster2
DKK3,cluster2
SLC35F3,cluster2
A2M,cluster2
WSB2,cluster2
CUX2,cluster2
ZNF556,cluster2
CDIP1,cluster2
KIAA0930,cluster2
HELZ2,cluster2
TLR10,cluster2
MIDN,cluster2
MAPK3,cluster2
PBX2,cluster2
FNBP1,cluster2
WAS,cluster2
MICAL2,cluster2
MPO,cluster2
HCG27,cluster2
HIST1H2BK,cluster2
CCNJL,cluster2
TAL1,cluster2
NEFL,cluster2
SMOC1,cluster2
FSCN1,cluster2
REM2,cluster2
SLC12A3,cluster2
RGAG4,cluster2
TUBB3,cluster2
KY,cluster2
NTRK1,cluster2
MMP11,cluster2
SLC35G1,cluster1
KIAA1549,cluster1
MPPE1,cluster1
GCLM,cluster1
CNKSR1,cluster1
SAXO2,cluster1
C1orf189,cluster1
PPP1R12A,cluster1
ANP32E,cluster1
TRIM13,cluster1
RALGPS2,cluster1
MEAF6,cluster1
DUOX1,cluster1
HIPK1,cluster1
FGFR2,cluster1
VAV3,cluster1
TCTEX1D1,cluster1
THUMPD1,cluster1
EXPH5,cluster1
ASAP1,cluster1
DCDC2B,cluster1
SLK,cluster1
ARID2,cluster1
NFATC3,cluster1
ZCCHC10,cluster1
VRK1,cluster1
TPP2,cluster1
NHLRC2,cluster1
GNAI3,cluster1
NRAS,cluster1
ERO1L,cluster1
ESRP1,cluster1
ANGPTL5,cluster1
RBM20,cluster1
EYA1,cluster1
TAB3,cluster1
DBNDD1,cluster1
FAM83F,cluster1
ADCY2,cluster1
C22orf23,cluster1
FAM19A3,cluster1
PKDREJ,cluster1
BMPR1B,cluster1
FAM107A,cluster1
GALNT1,cluster1
SPIN4,cluster1
GPX2,cluster1
ACTR3,cluster1
CBR4,cluster1
RAD21,cluster1
MAML3,cluster1
ZNF708,cluster1
ANXA9,cluster1
MEF2C,cluster1
DHRS9,cluster1
INPP5B,cluster1
SLX4,cluster1
ZNF284,cluster1
NR2C2,cluster1
LRRK1,cluster1
ANPEP,cluster1
S100P,cluster1
SIKE1,cluster1
FOXN3,cluster1
ANP32A,cluster1
YTHDC1,cluster1
RSBN1L,cluster1
BRWD3,cluster1
KLF12,cluster1
PRPF38B,cluster1
MED28,cluster1
CBX5,cluster1
ARHGAP19,cluster1
KIAA2018,cluster1
PSMC6,cluster1
USP31,cluster1
ARF6,cluster1
CDV3,cluster1
SYCP2L,cluster1
MTHFD2,cluster1
MAF,cluster1
SYNE3,cluster1
GLTSCR1L,cluster1
DDX17,cluster1
PPP3CA,cluster1
CKLF,cluster1
ACVR1B,cluster1
KLHL32,cluster1
DUOX2,cluster1
FAM76B,cluster1
EPM2AIP1,cluster1
ALS2,cluster1
ZNF709,cluster1
AGO2,cluster1
FOXP2,cluster1
C11orf30,cluster1
BRAF,cluster1
CNR1,cluster1
TNRC6B,cluster1
IL22RA1,cluster1
USP1,cluster1
PDZD2,cluster1
CLCA1,cluster1
TRIM24,cluster1
ZNF518B,cluster1
NIN,cluster1
LYST,cluster1
KAT6A,cluster1
PLD6,cluster1
CFAP45,cluster1
NINL,cluster1
FHL2,cluster1
SCARF2,cluster1
ZWILCH,cluster1
CDC14B,cluster1
TLR3,cluster1
EPB41L2,cluster1
CHN1,cluster1
CLU,cluster1
PALMD,cluster1
DTHD1,cluster1
RGS22,cluster1
TTC16,cluster1
IGFBP5,cluster1
FAM149A,cluster1
C9orf135,cluster1
SERPINB2,cluster1
HACD2,cluster1
PTAR1,cluster1
RSRP1,cluster1
ZNF644,cluster1
IRAK4,cluster1
TMEM41B,cluster1
KANK1,cluster1
TOP2B,cluster1
BTAF1,cluster1
GMEB2,cluster1
PRIMPOL,cluster1
TMEM55A,cluster1
PMP22,cluster1
GABPB2,cluster1
BTN2A1,cluster1
HPCAL4,cluster1
CRYM,cluster1
TP53BP2,cluster1
CHD1,cluster1
MT3,cluster1
TAPT1,cluster1
MYO1B,cluster1
C1orf101,cluster1
ATXN7L1,cluster1
TNRC6C,cluster1
NSD1,cluster1
CLEC19A,cluster1
TIMP3,cluster1
ANXA8,cluster1
NKPD1,cluster1
SERPINB11,cluster1
BCORL1,cluster1
FAM175A,cluster1
NEDD4L,cluster1
BCOR,cluster1
PELI2,cluster1
MGME1,cluster1
HIST1H4I,cluster1
EEF2K,cluster1
ZNF792,cluster1
DOCK5,cluster1
CEP19,cluster1
FAM168B,cluster1
KIAA1109,cluster1
MED1,cluster1
PRR14L,cluster1
MLLT11,cluster1
AUNIP,cluster1
BACE2,cluster1
ADGRE2,cluster1
GHRL,cluster1
ATP2B4,cluster1
IL1R1,cluster1
HGF,cluster1
EPOR,cluster1
IFT80,cluster1
HSPG2,cluster1
PPP1R21,cluster1
LAMP3,cluster1
MRFAP1L1,cluster1
SNCA,cluster1
MS4A6A,cluster1
ZNF33B,cluster1
ABCC5,cluster1
NRG1,cluster1
MYO5C,cluster1
DIP2B,cluster1
ABCC4,cluster1
HES6,cluster1
OTUD7B,cluster1
AREL1,cluster1
SEC14L1,cluster1
SGPL1,cluster1
DNTTIP2,cluster1
ATAD2B,cluster1
STRADA,cluster1
TGIF2,cluster1
RIMKLA,cluster1
PHF12,cluster1
MZT2A,cluster1
MMP17,cluster1
ASCL2,cluster1
KCNAB3,cluster1
CYP2B6,cluster1
SLC30A4,cluster1
SGTB,cluster1
DDX26B,cluster1
CLECL1,cluster1
C3orf58,cluster1
KRT7,cluster1
NSMF,cluster1
RASGRF1,cluster1
MOB3A,cluster1
HBB,cluster1
CYB561D1,cluster1
FAM129C,cluster1
LRFN1,cluster1
FAM198A,cluster1
RET,cluster1
TFPI,cluster1
RGS2,cluster1
IREB2,cluster1
FGD4,cluster1
IL10,cluster1
SELENBP1,cluster1
STK33,cluster1
ANKRD45,cluster1
CCDC181,cluster1
LYPD6B,cluster1
CCDC114,cluster1
PCDH1,cluster1
TUBA4B,cluster1
RSPH4A,cluster1
RARB,cluster1
DYDC2,cluster1
NEK10,cluster1
DNAI1,cluster1
CHST9,cluster1
SOS2,cluster1
GXYLT1,cluster1
APOD,cluster1
HYDIN,cluster1
CNOT8,cluster1
SSR1,cluster1
TGFBR1,cluster1
