row,cluster
BEX4,cluster3
BPHL,cluster3
HDDC2,cluster3
FAM89A,cluster3
ODF3L1,cluster3
EDEM2,cluster3
P2RX4,cluster3
STX11,cluster3
PLBD1,cluster3
MS4A14,cluster3
APBB3,cluster3
GPR85,cluster3
DUSP8,cluster3
TREM1,cluster3
SNX33,cluster3
MMP19,cluster3
HCAR2,cluster3
ANGPT4,cluster3
UNC5B,cluster3
UACA,cluster3
SLITRK4,cluster3
TSPAN3,cluster3
ADTRP,cluster3
GPD1,cluster3
PHLDA3,cluster3
FMO4,cluster3
PECR,cluster3
RPH3AL,cluster3
MYO7B,cluster3
FAHD2A,cluster3
SPARC,cluster3
RGS12,cluster3
EIF4EBP3,cluster3
MROH6,cluster3
ANKS1A,cluster3
LRP1,cluster3
SASH1,cluster3
TSC22D1,cluster3
SLC25A26,cluster3
ZNHIT6,cluster3
PCSK9,cluster3
RBMS3,cluster3
CYGB,cluster3
CDK18,cluster3
PDLIM1,cluster3
HPGD,cluster3
VWA7,cluster3
TCEAL4,cluster3
PIGQ,cluster3
ST6GALNAC6,cluster3
DTX4,cluster3
ITIH5,cluster3
ACO1,cluster3
IQSEC3,cluster3
SH3BP4,cluster3
EPB41L4A,cluster3
TCTN1,cluster3
MLPH,cluster3
DST,cluster3
PECAM1,cluster3
ABCC3,cluster3
TRPC6,cluster3
SEPT11,cluster3
SPIRE2,cluster3
TMEM56,cluster3
GNG12,cluster3
ARHGEF5,cluster3
C2,cluster3
C1QC,cluster3
RGL3,cluster3
AOC3,cluster3
FGF10,cluster3
CCDC106,cluster3
MIEF2,cluster3
LPIN3,cluster3
ARHGAP32,cluster3
PCOLCE2,cluster3
DIXDC1,cluster3
RNF135,cluster3
PLK2,cluster3
GRIN2D,cluster3
ZRSR2,cluster3
OPRK1,cluster3
GEMIN8,cluster2
OPHN1,cluster2
IDNK,cluster2
CPAMD8,cluster2
SLC16A5,cluster2
USP54,cluster2
CDR2L,cluster2
TLDC2,cluster2
C2orf71,cluster2
ICOS,cluster2
EXD2,cluster2
GNL1,cluster2
DCTD,cluster2
PLXNA3,cluster2
INPP5J,cluster2
SIAE,cluster2
SNX10,cluster2
CRLS1,cluster2
TRIQK,cluster2
ALDH1A1,cluster2
NEIL2,cluster2
RNF149,cluster2
IFI44,cluster2
PHYH,cluster2
ACSBG2,cluster2
PLXDC2,cluster2
STRADB,cluster2
TLR7,cluster2
DDX60L,cluster2
SAMHD1,cluster2
STAT2,cluster2
SMC1A,cluster2
SIRPB1,cluster2
SCARB2,cluster2
CCNB3,cluster2
ALPK1,cluster2
STXBP2,cluster2
DLX3,cluster2
HLA-DOA,cluster2
PCK2,cluster2
PIGO,cluster2
C17orf107,cluster2
CLDN23,cluster2
BTN2A2,cluster2
FCGR2A,cluster2
GGA1,cluster2
