col,cluster
CISH,cluster3
PARM1,cluster3
CCR3,cluster3
CLC,cluster3
UTP20,cluster3
AMMECR1,cluster3
AK2,cluster3
CHMP7,cluster3
PTGDR2,cluster3
CD1A,cluster3
CEBPE,cluster3
FAM101B,cluster3
CD1B,cluster3
OLIG1,cluster3
DOK1,cluster3
KIF5A,cluster2
ADAM29,cluster2
PROCR,cluster2
RUSC1,cluster2
CHDH,cluster2
MFSD2A,cluster2
WSCD2,cluster2
HPCAL1,cluster2
SLC9A3,cluster1
SLC6A14,cluster1
ACKR2,cluster1
CCL26,cluster1
CDC42EP5,cluster1
HOMER2,cluster1
CDH26,cluster1
SERPINB2,cluster1
